# vectors for reset-during-active test (seed=1)
# fields: act[0..63] wgt[0..63] acc_in exp_acc_out exp_sat (hex)
8a ae 47 a4 8d 7f 6c f3 f5 c7 23 d9 19 f2 2b a7 cd 45 55 da 10 77 59 1b 61 b6 ad 2c ae 48 fd 29 28 8f 76 a1 58 37 4a 2f ea 54 69 bc b5 55 ba 14 da 0e e6 e3 42 c7 4d 57 65 27 c1 42 24 8c 2f 1e 00 00 76 00 00 00 00 63 00 00 00 00 00 93 00 00 00 00 00 00 00 00 00 00 1c 00 00 00 00 00 00 00 00 00 00 00 60 00 00 00 00 00 dd 00 00 00 00 00 00 00 00 00 00 56 00 00 00 86 00 00 00 00 fb 00 00000000 00001843 0
00 7f 00 ff ff ff 01 01 ff 00 00 01 7f ff ff 80 01 00 ff 80 01 ff 01 7f ff 7f 7f 7f ff 80 00 01 ff 01 01 01 7f 7f 7f 00 7f 7f 7f 01 80 01 00 7f ff 01 ff 01 7f 80 01 7f 7f 00 80 00 80 00 ff 80 80 80 80 80 ff 00 80 80 7f 80 80 00 7f 00 00 7f 01 01 7f 01 ff 7f 7f 7f ff 00 80 00 ff 7f 01 80 7f 7f 01 00 ff 00 ff 7f ff 01 ff ff 00 7f 00 80 80 7f 80 00 ff 00 7f 7f 80 01 7f 80 01 01 7f 80 00005e1f ffff9ba9 0
50 5b 28 1e 09 af fd 1a 04 00 af e5 a7 93 62 0c 5e 57 fe da e4 2b 52 89 c7 8e d8 db df bf 24 f2 fb 3e 93 64 4e 95 fb d2 4a c7 c6 51 aa 97 54 1c 2f ad 95 fa 34 73 09 36 2a d7 97 c1 61 6e d2 54 cd 43 00 c0 bb 00 00 00 00 00 00 00 00 00 00 00 00 00 fe 00 00 00 00 05 00 00 00 1f e8 00 00 00 00 00 41 00 00 00 00 00 00 37 00 00 00 29 00 e9 00 00 00 00 00 00 00 9d 69 00 00 00 00 00 78 00 c822307a c821d643 0
00 fc 02 04 03 fe fc 02 04 03 02 03 02 fc ff 00 fe 01 00 01 fc 00 fd fe fe 02 fe 00 04 fd ff fc 01 00 00 02 fc fd 03 00 04 fc 02 fd fc ff fc 02 00 02 fd ff 01 ff fe 01 fe fe ff 04 04 04 fe 00 7f 80 7f 7f 80 ff 00 80 01 01 7f 80 01 00 ff 01 80 ff 01 7f ff 01 80 80 7f 01 01 01 ff 80 7f 00 ff ff 00 7f 7f 00 01 ff ff 80 7f ff 01 00 7f 7f 01 ff 80 7f 7f ff 7f ff 01 ff 00 ff 80 ff 7f ff 7fef420b 7fef4689 0
00 00 00 00 00 00 00 00 82 00 00 00 03 00 00 6f 00 00 00 00 a4 00 00 00 52 00 00 00 94 00 00 00 00 f0 00 4f 00 00 00 00 00 00 00 00 00 00 00 7d 2c 00 00 00 fb 00 00 00 00 00 00 00 00 d5 00 00 0b 37 c9 e3 64 95 1f 0f 78 7a 0d dc 52 19 34 e7 9e 79 39 d6 65 40 d1 02 ab 76 ff a7 47 7c 84 41 c0 f4 d8 f7 34 10 4e af d2 ba e4 c4 90 d6 b3 9b 22 31 de 3a e8 fa c1 85 96 63 b9 32 16 3f 47 79 00000000 ffff25f8 0
80 ff 7f 00 00 01 7f 00 01 7f 01 01 01 ff ff ff 7f 01 ff ff 7f ff 01 7f 00 ff ff 80 80 80 ff 7f 01 7f 01 7f 80 00 ff 80 01 ff 7f 00 7f ff 00 7f 7f 80 ff 80 00 00 01 7f 80 7f 01 ff 80 7f 01 80 80 ff 7f 01 ff 7f 01 01 ff 01 ff 80 00 80 01 ff ff 01 80 80 7f 01 80 00 80 7f 7f 00 ff 7f 00 80 7f 80 7f 01 01 7f 00 01 01 80 7f 80 00 00 ff ff 00 7f ff 7f 80 7f ff ff ff 80 00 80 01 80 7f 7f 800add40 8009e041 0
00 00 7c 00 00 00 00 00 00 00 00 00 00 00 00 e1 00 5b 00 00 3b 00 00 00 52 00 00 79 00 00 00 00 00 00 00 00 9c 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 38 00 90 00 00 00 00 00 08 67 96 42 09 d2 60 0c 28 c5 e3 17 a1 6d c8 b0 c2 13 82 1f 57 8e f7 a0 ee 16 36 74 1a 74 ed 0b 7a 4b d9 f4 b4 c9 bf e0 e5 9e 2c b7 bc 8f 8c 4c ad da 43 d5 16 01 62 ab 2c 35 0a 29 8a 95 61 6f 95ced85b 95cf1d81 0
01 80 80 01 7f 00 7f 01 01 80 00 00 ff 01 7f 00 00 7f 01 00 80 7f 00 7f 00 01 01 01 ff 80 ff 00 80 00 7f 01 80 7f 7f ff 01 ff 80 7f 01 ff 80 00 01 7f 80 00 ff 00 80 01 ff 00 01 ff 00 7f ff ff 04 01 04 03 03 fe 02 01 04 fd fc fe 03 fc 02 00 00 03 00 ff 04 fe 04 04 01 02 04 01 fc 04 01 ff 04 ff ff 01 04 fd fd ff fc 02 fd 02 04 fe 03 03 03 fe 00 fe fd fd 04 01 fe fc fc 00 04 ff 00 fc ffff44ac ffff3bc2 0
00 00 ad 00 00 00 00 1e 00 00 00 83 00 00 00 7c 00 00 00 ec 51 00 00 00 00 00 00 00 00 00 00 00 a3 00 00 00 00 00 00 00 00 00 00 00 05 00 00 73 00 00 00 00 00 00 00 00 00 93 00 00 00 05 00 00 ff ff fc ff ff 02 04 03 03 02 01 01 01 04 fd fc 03 00 00 02 fd fc fe fd ff fd ff 00 04 fe 04 fe fc ff 02 01 fd 01 04 fe 02 fd 01 fc 00 03 01 01 01 fe 04 02 04 ff fe ff 00 00 fe 03 00 04 01 fd 7fefb5d8 7fefb5f1 0
01 ff 00 ff 80 01 00 00 7f 01 80 7f ff ff ff 00 00 01 80 7f 7f 7f 00 00 01 ff 7f ff 80 00 01 7f 00 ff 00 01 01 ff 7f 7f 80 7f 00 00 7f ff 80 80 ff 7f ff 80 80 ff 80 7f 00 ff 80 00 01 01 01 00 00 00 00 00 00 1a 00 4d 19 22 00 00 00 00 00 00 00 00 ef 00 00 00 00 00 00 00 b5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 25 00 00 00 00 00 ee 00 62 00 00 00 00 00 00 00 00 00 00 00 00 7fe69b9e 7fe6519e 0
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 e1 00 00 00 4b 00 87 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 11 00 00 00 00 00 00 00 00 e1 00 00 00 00 00 a2 00 00 00 00 00 fd 04 03 01 03 ff 02 fd ff fc 02 00 ff ff fc ff 04 fc 00 02 ff 02 03 00 fe fd 03 ff fd ff ff 02 fc fc fe 00 fc fc fe 04 fc 01 fc fd fe 03 02 fe 00 02 02 01 ff 01 00 00 04 02 04 01 ff fe fe 01 000015ec 00001572 0
00 01 00 01 80 00 ff 80 00 01 00 01 80 ff ff 7f 00 7f ff 00 00 7f 01 ff 00 ff ff 80 00 7f 00 01 80 01 ff 00 7f ff ff ff 7f 80 ff ff 00 7f 00 ff 7f 01 80 80 ff ff ff 01 80 01 7f 01 ff 80 80 ff 55 b3 f8 55 b4 04 34 0e 18 16 1e dd 51 da b9 6f 21 f8 b8 76 67 1b 6b b5 dc ad 15 4d 4f bb 7e bc d8 9b 99 ca 65 ab 74 c4 71 82 0e 1c 8b c6 87 7e a4 f0 79 5c 54 11 5f ea 63 59 6d 67 e2 2d bf e9 ffffc7b2 ffffcd76 0
a8 65 36 7f f9 0a f2 c2 2c 7d 3c 16 11 fd 94 41 f0 9c 12 af 82 a4 a4 50 85 54 bb c3 1c 61 bc 4b ff 64 61 e2 af d1 80 80 0a f1 85 2f b9 d4 1b 7b b6 5e 94 7a 56 37 ef 8d 4c ae d2 ec f2 db 4b 94 00 00 00 bb 00 00 00 00 00 00 00 00 00 ff 48 f4 00 00 00 00 00 00 00 07 66 00 f1 00 00 00 00 00 00 00 9f 00 00 00 00 00 00 00 00 00 00 00 00 00 0d 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 801671e7 8015daf9 0
04 03 04 fc 01 fc 00 04 00 02 fc 02 01 fd 01 fd 01 fc ff 02 04 fc ff fc 04 01 ff ff fd 04 01 fc 02 fe 04 ff fc ff ff 00 01 01 01 02 ff 03 fd ff 03 fd 02 02 ff 04 02 00 04 03 00 04 01 fc 04 ff b9 5e 17 35 82 76 4c 91 af f0 78 90 7d 2c 8e 3b f9 f0 ec cf 18 21 82 0e 75 f0 6c 7f ac 3e 00 c7 0d 77 9f fa a3 cf 66 a2 df a5 6c 44 5c 0d ba ac 12 90 8b f4 58 f0 5e df bf b8 16 e3 6f 39 f5 2d 7ff1cb47 7ff1c44f 0
16 2e 1b 96 20 37 1c 25 de c7 fd 40 67 b7 c0 38 a3 f4 60 7e 3d b2 cb 40 90 0d e8 3f 03 70 03 5d 1e a6 64 4e 07 c7 6b 84 6c 2d d7 5f 90 03 3f 89 ff 3d 11 01 9b 1a d0 af 48 3c 2e 98 4a 85 26 09 00 00 00 00 00 7f 7f 80 00 00 80 ff 80 ff ff 01 01 01 01 00 00 00 ff 80 7f ff ff 7f 80 00 ff 80 7f 01 80 01 00 7f 01 00 80 01 00 7f 01 01 00 00 7f 80 7f 00 ff 7f 00 7f 80 80 00 01 7f 01 00 7f 8008fea3 8007ea67 0
01 fe 02 04 ff 01 02 00 fd 04 fc 01 fd 01 00 fc 00 01 04 01 ff 03 01 00 02 04 04 fe 01 fe fc 02 04 01 01 01 04 fc fe 01 fd 04 03 ff 04 fd 03 01 fc 03 01 03 fc 04 02 02 ff 00 fc 02 02 fe fe 00 78 7f 97 85 79 0e 4c e8 22 ac 4c c4 f1 fa f1 1b 1f 21 15 ab 0e a2 8c 88 f2 ca 22 52 b6 c2 bb 92 8b ad b6 fc ee 60 49 6f e7 26 b5 fd 0e 3e ed 20 47 9a 29 f6 b7 11 88 cc 46 29 d7 c0 91 e4 42 7d 0000d126 0000c011 0
98 00 32 00 00 00 00 76 29 00 00 00 00 0f 00 00 00 00 00 00 00 00 00 00 00 00 00 d4 00 00 00 00 00 f3 00 00 00 00 00 00 00 00 00 00 00 00 00 27 00 00 00 00 00 00 00 ca 47 00 00 00 00 00 00 00 01 01 7f 80 01 80 80 7f 01 80 80 ff 00 80 01 01 01 00 00 ff ff 7f 7f 00 00 00 7f ff 01 00 7f ff ff 01 80 7f 7f ff 7f 01 ff 80 80 ff 00 01 7f 80 80 01 ff 7f 80 ff 7f 00 00 80 01 01 80 00 00 ff 80076f50 8007a788 0
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 29 00 00 00 64 00 00 00 00 00 00 00 00 00 00 00 00 6b 00 00 00 00 98 00 00 00 00 00 00 0a 00 00 00 00 d9 00 00 00 00 00 e5 00 00 02 fc 02 01 01 ff 03 fc 04 fc 00 fc ff 03 ff 03 ff 04 04 fc fd 01 04 ff 02 fc fc 02 04 02 ff 03 ff 03 fc 00 00 02 fc 01 ff ff 03 00 01 00 04 00 01 ff fc 02 01 fd fe ff 04 fc fc fc 00 01 02 fe 00000000 fffffcd1 0
17 19 94 c7 64 9d fd bb 92 5e 36 22 14 79 d0 99 db 63 df 36 5a 20 03 70 b5 1b ba bf de 1c f4 44 10 b4 d3 f7 a9 4b f3 dc a1 56 65 dc b9 d5 b0 86 fb e6 34 8b d9 28 a7 3a a0 3a 33 1a 79 a6 f1 47 fd 00 03 03 ff 01 fc fd 02 01 fc 01 01 02 fc 04 ff 02 00 01 04 00 fc fd 03 fd 01 02 02 fe ff 02 04 fe fc 04 01 02 01 fc fd 04 00 03 fe 02 03 04 ff ff 00 03 02 04 01 fd 01 fe fd fe 01 ff fe fd 94bac175 94babbaf 0
00 00 00 00 00 00 74 00 00 00 00 b2 00 00 00 00 00 00 00 00 00 00 00 00 00 1c 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 9b 00 00 00 00 00 5d 00 00 00 00 00 00 00 00 d6 6b 00 8e 3a 39 98 f0 35 47 24 1e ba e9 e0 c8 7d 36 02 04 eb e3 ba a8 95 9a c6 37 f3 c4 d2 df da 71 03 dd a6 e6 aa 02 e2 cc 64 b1 f9 ca a0 c1 17 6a a1 eb d9 90 21 e6 0f 8c 81 cb 87 15 59 02 e9 a3 58 e30ddbbf e30dade2 0
35 0a db a9 fd 45 5a 4c 13 a7 d7 74 f0 2d 3c 41 37 41 f3 e1 56 cb 00 88 4c ed be 9d 89 52 81 bd d5 2c 0a 93 7f 9f cc f4 00 36 6d bf d9 e2 58 b2 15 d7 6e 34 5d 3d 3d 60 44 8e 7b c3 74 1a fd 7b 00 80 80 7f 00 80 ff 01 00 80 7f 7f 01 00 ff 7f 01 00 ff 7f 01 80 7f 00 ff 80 ff ff 7f 00 ff 80 01 ff ff ff 80 00 80 ff 7f 80 ff ff 01 00 ff 01 01 01 00 00 ff 7f 80 ff ff 00 80 80 ff ff 01 00 00000000 ffffcbb5 0
29 7a 1f 4a 5f 55 b5 01 2a aa ad 05 f9 98 a5 66 a5 ad 1e 7b fd e4 f9 42 c4 a3 74 29 5d ec da 49 38 c0 89 d5 78 e4 9c 22 88 65 61 92 b6 f9 73 de 40 58 16 c5 f9 0f 03 07 ee 51 15 ff 53 5a 70 89 01 80 00 7f 01 80 ff 7f 7f 80 ff 80 00 7f 7f 00 00 80 00 01 ff 7f ff 7f ff 01 80 00 80 00 7f 01 00 ff ff 00 7f ff 80 80 01 80 00 7f ff ff 80 80 01 7f ff 7f 80 ff 00 00 ff 80 ff 80 ff 01 ff ff 7ffb0761 7ffa1a2d 0
35 55 2c eb 8d c9 8f 3a 5f 67 3b ed 09 2b 72 13 b8 cc 24 43 0c 64 e0 e8 db dd 43 ba a1 eb 58 f6 36 49 71 60 3a de 75 6e 3e 11 85 70 7f 15 cf 9e f6 27 c7 03 74 b4 61 e9 99 c9 32 78 2f 23 89 c9 00 00 80 00 00 00 0d 00 00 db 00 be 7b 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 fb 00 00 00 00 00 b0 00 00 00 e4 00 11 4f 37 00 17 00 06 4d 00 00 00 00 00 00 00 00 00 00 8014ba19 80143851 0
00 7f 01 01 00 80 ff 7f 01 80 01 ff 01 ff 01 7f 7f 80 80 01 01 00 00 80 ff 80 80 7f 7f 00 80 00 80 ff 7f 7f 7f 00 00 80 80 7f ff 01 7f 00 80 ff 80 01 ff ff 80 ff 7f 01 00 80 7f ff ff 00 ff 00 00 00 00 00 00 00 00 00 5e 00 00 0f b7 00 f3 00 00 00 cd 00 00 00 00 00 00 37 28 00 00 5c 00 00 00 0d 00 00 00 88 59 00 60 00 00 00 00 00 00 00 00 00 a9 00 00 00 00 00 d9 00 8a 00 00 00 e9 00 801368d3 8012e8a3 0
00 00 8a 00 00 00 00 00 00 2e ca 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7e cb 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7f 80 ff 00 80 01 ff 7f ff 00 00 01 80 7f 7f 80 7f 01 01 00 7f 7f ff 7f 01 00 80 00 01 01 7f 01 80 7f 00 80 01 7f ff 80 00 01 01 ff 00 01 01 00 80 00 ff 00 01 01 7f ff 01 01 7f 80 01 ff 01 ff 80069b22 80069be1 0
00 00 fe 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 79 00 00 00 a4 00 00 00 e3 00 00 00 00 00 a4 00 87 00 00 00 00 51 00 00 00 00 00 00 00 00 00 d1 00 00 00 00 00 00 00 00 00 00 00 00 00 85 00 00 95 00 00 00 00 00 00 62 00 00 00 d0 00 00 00 00 00 b4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 47 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 9e 00 00 7e 00 800c0cd6 800c0cd6 0
bf 59 44 94 3d 38 6b ae e8 56 f0 ac 5a 52 ed 65 ef 88 72 c8 6f 30 07 e9 d4 b8 b8 d9 e9 ce f5 9d c7 db cc 9b 39 10 77 d2 fa 1e a7 15 fb b1 8b 16 69 d2 a0 35 b6 c6 18 c4 a4 30 b8 85 03 58 eb 78 01 04 fc fe ff 00 00 00 fc 02 fd fc 03 03 ff 01 fe 04 00 ff 01 02 00 fe 03 ff ff fe fd 03 01 fd 04 02 02 ff 01 01 fc fe 04 ff 03 fc 04 ff fc fc fd 02 03 00 fc fd 01 04 01 03 02 03 03 fe 02 02 00001aad 00001b54 0
00 00 00 00 e3 00 bb 00 00 00 00 00 00 ef 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 88 cd 00 d2 00 79 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 c9 00 e9 00 00 01 ff 7f 80 00 ff 01 ff 7f 7f ff ff 01 01 ff 01 00 01 00 01 00 7f 00 80 00 80 00 00 80 7f 01 01 ff 00 00 01 01 01 7f 01 7f 7f 7f 01 01 ff ff 80 7f 7f 80 ff 00 ff 01 ff 01 ff 80 ff 80 80 80 01 80058eab 8005a57c 0
a7 3b 1e 9f f5 a1 e5 bd ad f9 18 dc bb bf 90 08 5c 26 f5 ad e4 93 3c 40 a3 ef b2 f2 1c 21 96 bf 05 1a 04 b3 7d 0d 37 d7 de 94 21 51 61 22 3d 5d 2f d4 ed 77 4f 47 10 93 52 81 c6 d1 82 4d de 2e 00 00 00 d3 00 00 00 00 00 00 d1 00 00 00 00 58 00 00 00 85 00 00 6c 00 77 00 00 00 00 00 fd 00 00 00 00 eb 00 00 00 00 00 00 00 00 00 00 00 00 69 09 00 00 43 fc 00 00 00 00 00 ee 00 00 00 00 8011ae32 801203b6 0
00 00 64 3b 00 00 06 00 00 00 00 00 00 00 a2 00 ef 00 00 00 00 a8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 a3 b1 00 00 00 00 00 00 42 00 6b 00 00 00 00 00 00 3f 00 4a 00 00 ff fd fe 00 ff fe fc ff 02 fc 03 00 ff 04 03 01 03 fe fc 04 fc ff 02 01 02 03 04 02 01 ff 03 01 01 fc 03 fd 02 02 01 04 02 04 00 fe ff 02 01 01 04 fe 03 03 00 fe fe ff 00 fc ff 01 04 fd fc fc 80145f87 80145e77 0
